epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,2765.33,1.20008,0.4837,0.93846,0.90957,0.87132,0.91906,0.47776,1.65571,0.652,1.13032,0.0003862,0.0003862,0.0003862
64,2809.05,1.1993,0.48375,0.93515,0.891,0.892,0.91668,0.47856,1.66536,0.65319,1.13569,0.0003763,0.0003763,0.0003763
65,2852.43,1.19862,0.48493,0.93916,0.89256,0.89267,0.92253,0.4755,1.67025,0.64902,1.1357,0.0003664,0.0003664,0.0003664
66,2895.69,1.18492,0.47677,0.9377,0.89997,0.8879,0.91941,0.47878,1.66229,0.64405,1.13335,0.0003565,0.0003565,0.0003565
67,2939.61,1.1792,0.47484,0.92838,0.89821,0.89987,0.92414,0.4799,1.65856,0.6425,1.132,0.0003466,0.0003466,0.0003466
68,2983.29,1.17633,0.47712,0.93161,0.89656,0.89857,0.92073,0.47803,1.65796,0.64246,1.13025,0.0003367,0.0003367,0.0003367
69,3026.62,1.16857,0.4702,0.92703,0.91293,0.87954,0.9222,0.47789,1.66758,0.64829,1.13495,0.0003268,0.0003268,0.0003268
70,3070.32,1.15814,0.46848,0.9253,0.9071,0.89035,0.91988,0.47558,1.66984,0.64436,1.14173,0.0003169,0.0003169,0.0003169
71,3114.05,1.16904,0.47228,0.92675,0.90581,0.89099,0.91858,0.47594,1.66575,0.64402,1.14343,0.000307,0.000307,0.000307
72,3157.72,1.15967,0.46951,0.92785,0.89453,0.90212,0.92149,0.47687,1.66307,0.64347,1.14116,0.0002971,0.0002971,0.0002971
73,3201.49,1.1412,0.46483,0.92036,0.90686,0.892,0.92563,0.47738,1.66507,0.6443,1.13681,0.0002872,0.0002872,0.0002872
74,3245.22,1.14272,0.46289,0.91861,0.90416,0.89364,0.92476,0.47728,1.66988,0.64179,1.13916,0.0002773,0.0002773,0.0002773
75,3288.89,1.15997,0.46886,0.92027,0.9041,0.89419,0.9206,0.47246,1.66892,0.64344,1.13917,0.0002674,0.0002674,0.0002674
76,3332.51,1.14544,0.46654,0.91819,0.90511,0.892,0.92088,0.474,1.67444,0.6497,1.1418,0.0002575,0.0002575,0.0002575
77,3376.15,1.13408,0.46145,0.92019,0.91747,0.88372,0.92463,0.47648,1.67414,0.64354,1.14442,0.0002476,0.0002476,0.0002476
78,3419.85,1.1308,0.45541,0.91942,0.90353,0.89693,0.92096,0.47485,1.67834,0.64622,1.15393,0.0002377,0.0002377,0.0002377
79,3463.59,1.12732,0.4574,0.92039,0.89968,0.89973,0.92181,0.47505,1.67554,0.64133,1.15369,0.0002278,0.0002278,0.0002278
80,3506.85,1.11545,0.45521,0.91618,0.91324,0.88103,0.91906,0.4766,1.67713,0.64099,1.15205,0.0002179,0.0002179,0.0002179
81,3550.59,1.10801,0.45187,0.909,0.90194,0.89255,0.91803,0.47854,1.6711,0.64753,1.1493,0.000208,0.000208,0.000208
82,3593.92,1.11427,0.45099,0.9111,0.91445,0.88158,0.91982,0.47545,1.6777,0.64488,1.15111,0.0001981,0.0001981,0.0001981
83,3637.57,1.1066,0.44942,0.9122,0.9234,0.87116,0.91949,0.47481,1.67532,0.63971,1.1511,0.0001882,0.0001882,0.0001882
84,3681.26,1.12057,0.45459,0.91709,0.91305,0.87506,0.91636,0.47333,1.67373,0.64031,1.15404,0.0001783,0.0001783,0.0001783
85,3724.88,1.10731,0.44861,0.91216,0.92319,0.86978,0.91912,0.473,1.67783,0.64442,1.15773,0.0001684,0.0001684,0.0001684
86,3768.56,1.10228,0.44625,0.91269,0.91138,0.88651,0.92444,0.4783,1.66641,0.64885,1.1518,0.0001585,0.0001585,0.0001585
87,3812.32,1.12372,0.45722,0.91535,0.90475,0.8898,0.92257,0.47642,1.66338,0.64563,1.15117,0.0001486,0.0001486,0.0001486
88,3855.97,1.10854,0.45149,0.91193,0.89929,0.89102,0.91998,0.4752,1.67344,0.64191,1.15389,0.0001387,0.0001387,0.0001387
89,3899.44,1.07908,0.44128,0.90547,0.91703,0.87868,0.92097,0.47747,1.67696,0.64322,1.15536,0.0001288,0.0001288,0.0001288
90,3943.16,1.09617,0.44619,0.90985,0.92357,0.87336,0.91943,0.47603,1.67849,0.64229,1.15796,0.0001189,0.0001189,0.0001189
91,3990.74,1.16236,0.46856,0.93316,0.88718,0.90351,0.91479,0.46674,1.67919,0.64632,1.16282,0.000109,0.000109,0.000109
92,4034.12,1.10894,0.44596,0.91549,0.90444,0.89254,0.91872,0.47006,1.67923,0.64364,1.15948,9.91e-05,9.91e-05,9.91e-05
93,4077.55,1.09107,0.43957,0.91325,0.89921,0.90132,0.9219,0.47397,1.67054,0.64056,1.15024,8.92e-05,8.92e-05,8.92e-05
94,4120.89,1.09912,0.44366,0.91736,0.92491,0.87783,0.92032,0.47286,1.67939,0.63759,1.15568,7.93e-05,7.93e-05,7.93e-05
95,4164.24,1.07774,0.43354,0.91343,0.91627,0.88194,0.91924,0.47137,1.67558,0.64633,1.15467,6.94e-05,6.94e-05,6.94e-05
96,4207.56,1.06641,0.43111,0.90808,0.91618,0.87993,0.91736,0.4709,1.67418,0.64628,1.15976,5.95e-05,5.95e-05,5.95e-05
97,4250.94,1.07386,0.4341,0.91053,0.91055,0.88377,0.91803,0.47329,1.66723,0.6469,1.15658,4.96e-05,4.96e-05,4.96e-05
98,4294.28,1.06845,0.43049,0.9061,0.911,0.88668,0.9204,0.47341,1.66848,0.63972,1.15843,3.97e-05,3.97e-05,3.97e-05
99,4337.68,1.06368,0.42877,0.90856,0.90382,0.89419,0.91875,0.47438,1.66786,0.64295,1.15772,2.98e-05,2.98e-05,2.98e-05
100,4381.02,1.05892,0.43157,0.90601,0.90836,0.8912,0.91844,0.47303,1.67238,0.64079,1.16048,1.99e-05,1.99e-05,1.99e-05
